"","Taxa","Identifier","Publication.Date.Authorship","Origin","Study.site","LatitudeSS","LongitudeSS","Year.of.treatment","In.situ.or.Ex.situ","Treatment.group.size","Life.Stage","Intervention.category.1","Treatment.used.1","Specific.treatment.used.1","Intervention.category.2","Treatment.used.2","Specific.treatment.used.2","Duration.of.intervention","Long.term.monitoring","Habitat.or.Individual","Scalability","Efficacy.Matrix","Efficacy.of.intervention","Trend.in.efficacy.score","Adverse.Effects","Usability","Therapeutic.or.Prophylactic","Dosage","Comments.Extras","Year.of.publication","Intervention.category.1.itra","PhyloName","Genus","Family","Order","SVLMx","Microhabitat","ClutchMn","Activity","Latitude","Climate","Habitat","TaxaGroup"
"11","Alytes muletensis",17,"2015 - Bosch et al","Mallorca, Spain","Coco de sa Bova, Mallorca, Spain","39°36'48""N","2°54'41""E",2012,"In situ",NA,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"Y","I","Y","Infection matrix",0,NA,0,1,"Therapeutic","1.0 mg l -1","The experimental set up had many stages in which the experimental trials and groups were not well defined. This portion of the study was isolated from 2012-2013 but the intervention was applied to the same study group as #16, therefore it received a utility score of 1. There was information about the group size of the indiviudals tested for Bd, but no information about how many the treatment was applied to. Since we do not know if the entire population or just a portion needs to be captured and treated, there could not be an appropriate assessment of scalability. There was little information about the summer testing and why it was performed other than to have another data set in the figures, but it was not discussed. The infection  matrix was used and received a 0.",2015,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"12","Alytes muletensis",39,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",4,NA,2,1,"Therapeutic","0.5 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. This is the only dose/treatment duration combination that resulted in 2 deaths (33%) mortality. Although the paper later states that no mortality or morbidity was observed in the testing group, with such a small testing group it could not be discounted. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"13","Alytes muletensis",44,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,14,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","1.5 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"14","Alytes muletensis",40,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","1 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"15","Alytes muletensis",19,"2015 - Bosch et al","Mallorca, Spain","Torrent des Ferrerets, Mallorca, Spain","39°36'48""N","2°54'41""E",2013,"In situ",NA,"Larvae","Chemical","Antifungal","Itraconazole","Chemical","Disinfectant","Vikron S",7,"Y","B","Y","Infection matrix",4,"No change",0,1,"Therapeutic","1.0 mg l -1 and 0.1% vikron s","The study group had been tested for Bd with a decreasing trend since 2006, but no treatment had been applied until 2012. There was information about the group size of the indiviudals tested for Bd, but no information about how many the treatment was applied to. Since we do not know if the entire population or just a portion needs to be captured and treated, there could not be an appropriate assessment of scalability. Using the infection  matrix, the intervention resulted in 0 Bd zoospores found the two years following year after the intervention treatment. ",2015,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"16","Alytes muletensis",45,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,21,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","0.5 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"17","Alytes muletensis",47,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,21,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","1.5 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"18","Alytes muletensis",42,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,14,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","0.5 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"19","Alytes muletensis",41,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","1.5 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"20","Alytes muletensis",43,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,14,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","1 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"21","Alytes muletensis",46,"2009 - Garner et al","Durrell Wildlife Conservation Trust, UK","Zoological Society of London, UK","","",NA,"Ex situ",6,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,21,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","1 mg l–1","No supplementary data was readily available and thus, while the study reported that ""Itraconazole appears to be a reliable antifungal for the elimination of Bd infection"" no zoospore count was provided. The study reportred a ""lack of detectable infection"" resulting in negative tests for Bd. The prevalance matrix was used for this reason, resulting in a 4. ",2009,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"22","Alytes muletensis",266,"2012 - Muijsers et al","Captive bred",NA,"","",NA,"Ex situ",6,"Juvenile","Chemical","Antibiotic","Florfenicol",NA,NA,NA,14,"N","I","Y","Infection matrix",2,NA,0,1,"Therapeutic","10 mg/L","This was not scalable due to the daily requirements of treatment application. The results were provided in a graph as GE, which were log transformed. Since the exact zoospore counts were not provided, this received a 1 for utility and the infection matrx  was used. ",2012,"Other chemical","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"23","Alytes muletensis",18,"2015 - Bosch et al","Mallorca, Spain","Coco de sa Bova, Mallorca, Spain","39°36'48""N","2°54'41""E",2013,"In situ",NA,"Larvae","Chemical","Antifungal","Itraconazole","Chemical","Disinfectant","Vikron S",7,"Y","B","Y","Infection matrix",4,NA,0,1,"Therapeutic","1.0 mg l -1","Similar as to #16 and 17, there were difficulties with reading the experimental group trials. This portion of the study was isolated from 2013-2014 but the intervention was applied to the same study group as #16 and #17. There was little information about the summer testing and why it was performed other than to have another data set in the figures, but it was not discussed. There was information about the group size of the indiviudals tested for Bd, but no information about how many the treatment was applied to. Since we do not know if the entire population or just a portion needs to be captured and treated, there could not be an appropriate assessment of scalability. The infection  matrix was used and in 2014, Bd was reported to have been eliminated. Data was not collected the following year. ",2015,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
"24","Alytes obstetricans",125,"2017 - Geiger et al ","Lucerne, Switzerland","Sagerhüsli lower, Lucerne, Switzerland","47°13'14""N","8°00'58""E",2011,"In situ",NA,"Larvae","Chemical","Other"," General Tonic® ",NA,NA,NA,8,"Y","H","Y","Infection matrix",0,"Increase in score",0,1,"Therapeutic","0.6 ml/L","There was no information in the paper or supplementary documents regarding the number of subjects treated in each of the ponds. The antifungal used was General Tonic, and no further information about the composition of the antifungal was provided. This study captured, contained for 8 days at a time, and then released the individuals back into the locations from where they were initially captured. These capture and release treatments occured over the duration of 4 months, (May, June, July and September).The data was provided by site, and the infection matrix was used. Efficacy score was obtained from the data point for March, and the data from April was less than 0.5 difference lower than September. ",2017,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"25","Alytes obstetricans",11,"2020 - Fernandez-Loras, Boyero, Bosch","Aragon, Spain","Torreta, Aragon, Spain","41°23'08""N","0°42'04""W",2012,"In situ",NA,"Larvae","Population demographic","Removal","Total removal",NA,NA,NA,NA,"Y","I","N","Infection matrix",0,"No change",0,1,"Therapeutic",NA,"There were no treatment group size because all of the larvae were removed, not a predetermined amount, and the total number of removed indiviudals was not reported. In addition, the data reported was the Bd load in the larvae present, which some years were missing data and therefore difficult to compare between sites, and thus the paper itself states that while they acheived zero Bd detection, it was not a sucessful erradication due to the increases in other sites. Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a N for scalability. No intervention treatment duration was applicable because all the larvae were removed for the duration of the year. The infection matrix was used, and because Bd load increased in 2013, this received a 0.",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"26","Alytes obstetricans",126,"2017 - Geiger et al ","Lucerne, Switzerland","Hergiswald, Lucerne, Switzerland","47°01'17""N","8°13'57""E",2011,"In situ",NA,"Larvae","Chemical","Other"," General Tonic® ",NA,NA,NA,8,"Y","H","Y","Infection matrix",0,"Increase in score",0,1,"Therapeutic","0.6 ml/L","There was no information in the paper or supplementary documents regarding the number of subjects treated in each of the ponds. The antifungal used was General Tonic, and no further information about the composition of the antifungal was provided. This study captured, contained for 8 days at a time, and then released the individuals back into the locations from where they were initially captured. These capture and release treatments occured over the duration of 4 months, (May, June, July and September).The data was provided by site, and the infection matrix was used. Efficacy score was obtained from the data point for March, and the data from April was less than 0.5 difference lower than September. ",2017,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"27","Alytes obstetricans",77,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",7,"Larvae","Bioaugmentation","Probiotic","PIP Pond Plus",NA,NA,NA,7,"N","H","Y","Infection matrix",4,NA,0,1,"Therapeutic","50 µl/L","The study stated that the results were not significant (ANOVA: F= 0.7148, df = 24, p = 0.5528). The control had low reported Bd loads (approx 1 log transformed), thus the treatment was within 1 log transformed units, but the treatment reduced infection load to 0. Infection matrix was used and results were assessed from the  a figure. This received a 4 for efficacy but a 1 for utility. ",2012,"Bioaugmentation","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"28","Alytes obstetricans",90,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","0.4 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"29","Alytes obstetricans",124,"2017 - Geiger et al ","Lucerne, Switzerland","Sagerhüsli upper, Lucerne, Switzerland","47°13'14""N","8°00'58""E",2011,"In situ",NA,"Larvae","Chemical","Other"," General Tonic® ",NA,NA,NA,8,"Y","H","Y","Infection matrix",0,"No change",0,1,"Therapeutic","0.6 ml/L","There was no information in the paper or supplementary documents regarding the number of subjects treated in each of the ponds. The antifungal used was General Tonic, and no further information about the composition of the antifungal was provided. This study captured, contained for 8 days at a time, and then released the individuals back into the locations from where they were initially captured. This capture and release treatments occured only once in September and the observation was until April of the following year. The data was provided by site, and the infection matrix was used. Efficacy score was obtained from the data point for March, and the data from April continued to be higher in Bd zoospores than in September. ",2017,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"30","Alytes obstetricans",89,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","0.2 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"31","Alytes obstetricans",94,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",2,NA,0,2,"Therapeutic","1.2 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"32","Alytes obstetricans",55,"2010 - Tobler & Schmidt","Baselland and St. Gallen, Switzerland","University of Zurich, Switzerland","","",2008,"Ex situ",53,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"Y","I","Y","Prevelance matrix",4,"No change",0,2,"Therapeutic","1 mg/L","The paper was mostly interested in the relationship between the mortality of populations from different locations. Despite this, the paper provided some inforamation about the treated indiviudals having tested negative for Bd, but there was no information about the zoospore count from the treated group. Thus the prevelance matrix was used and received a 4, but utility received a 2. ",2010,"Itraconazole","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"33","Alytes obstetricans",76,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",7,"Larvae","Bioaugmentation","Probiotic","PIP Pond Plus",NA,NA,NA,7,"N","H","Y","Infection matrix",1,NA,0,1,"Therapeutic","25 µl/L","The study stated that the results were not significant (ANOVA: F= 0.7148, df = 24, p = 0.5528). The control had low reported Bd loads (approx 1 log transformed), thus the treatment was within approximatley 0.5 log transformed units. Infection matrix was used and results were assessed from the  a figure. This received a 1 for efficacy but a 1 for utility. ",2012,"Bioaugmentation","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"34","Alytes obstetricans",93,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",1,NA,0,2,"Therapeutic","1 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"35","Alytes obstetricans",10,"2020 - Fernandez-Loras, Boyero, Bosch","Aragon, Spain","Reguero, Aragon, Spain","41°23'08""N","0°42'04""W",2012,"In situ",NA,"Larvae","Population demographic","Removal","Total removal",NA,NA,NA,NA,"Y","I","N","Infection matrix",0,NA,0,1,"Therapeutic",NA,"There were no treatment group size because all of the larvae were removed, not a predetermined amount, and the total number of removed indiviudals was not reported. In addition, the data reported was the Bd load in the larvae present, which some years were missing data and therefore difficult to compare between sites, and thus the paper itself states that while they acheived zero Bd detection, it was not a sucessful erradication due to the increases in other sites. Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a N for scalability. No intervention treatment duration was applicable because all the larvae were removed for the duration of the year. The infection load matrix was used, and because Bd load increased in 2013, this received a 0.",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"36","Alytes obstetricans",99,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",2,NA,0,2,"Therapeutic","4 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
